"","dF/dx","Std. Err.","z","P>|z|"
"exposureProsecutor",0.0468075525798095,0.0511849398036139,0.914479000256725,0.360465207373193
"nprior.Prosecuted",0.0381865959685063,0.039492390396118,0.966935543416992,0.333576256879133
"Charge_TypeAlcohol",-0.721585544241196,0.198300150909809,-3.63885524509454,0.000273852669603064
"Charge_TypeArson",0.0798423281319108,69.1625897386109,0.00115441495805265,0.999078910332795
"Charge_TypeAssault",-0.889917402110221,2.11371919061701,-0.421019691764471,0.673740702636145
"Charge_TypeBomb",-0.723829261350855,0.252300442549599,-2.86891792196742,0.00411878665808203
"Charge_TypeBreach",-0.724366187820393,0.22767414486681,-3.18159177997198,0.00146468106354527
"Charge_TypeBurglary",-0.759586734084235,0.860202303583469,-0.883032666757477,0.377218622007431
"Charge_TypeConspiracy",-0.722671680655419,0.281348353483141,-2.56860106593346,0.010210993203274
"Charge_TypeContempt",-0.824240476270096,1.90635666411555,-0.432364253649514,0.66547669429234
"Charge_TypeDisorderly",-0.786597808365331,1.06149810413995,-0.741026107628004,0.458677610646168
"Charge_TypeDrugs",-0.815208915890045,1.45533234944374,-0.560153092317116,0.575375019194466
"Charge_TypeEducation",-0.726157234055302,0.251960385334415,-2.88202938367278,0.00395122885060297
"Charge_TypeFTC",-0.724176402751281,0.232702593853491,-3.11202548608986,0.00185808457259813
"Charge_TypeHarassment",-0.72345239225054,0.216205251042791,-3.34613700990711,0.000819458939746377
"Charge_TypeKidnapping",0.1982482439748,22.7804063683112,0.00870257715202897,0.993056435696277
"Charge_TypeLarceny",-0.794285289249566,1.24639159527946,-0.637267847647412,0.523950390283651
"Charge_TypeMalicious",-0.78306875984559,1.0818175180813,-0.723845516233116,0.469160582121956
"Charge_TypeMinor",-0.731226795121448,0.31084671820402,-2.35237096709998,0.0186541605689307
"Charge_TypeMurder",-0.722561663000341,0.297191870240394,-2.43129686695626,0.0150448818956186
"Charge_TypeObscene",0.229760013840658,25.6942917813567,0.0089420644785924,0.99286535989254
"Charge_TypeOther",-0.72392654287796,0.211455463875712,-3.42354143803758,0.000618108271253604
"Charge_TypeProbation",-0.817692437874592,3.53708947657779,-0.231176633582288,0.817177582071549
"Charge_TypeReport",-0.728225438328393,0.274339756610199,-2.65446556972457,0.0079434145477103
"Charge_TypeResisting",-0.73824205903341,0.452068962104026,-1.63302973864313,0.102462742256333
"Charge_TypeRiot",-0.721709464776652,0.191565708248698,-3.76742513769585,0.000164939979187387
"Charge_TypeRobbery",-0.723329848760475,0.557517584748343,-1.29741172036211,0.194489561968615
"Charge_TypeRSG",-0.731556038420123,0.296304170030036,-2.46893602052906,0.0135515445145407
"Charge_TypeSchool",-0.815478003812335,1.32787871427403,-0.614120849326339,0.539135471758959
"Charge_TypeSex",-0.747614047618057,0.890652583851264,-0.839400301726297,0.401244714604494
"Charge_TypeShoplifting",-0.775945443075714,0.957190344428188,-0.810649049682227,0.417567240427116
"Charge_TypeStatus",-0.918511367305332,2.36017519607043,-0.389170841569138,0.697149771655028
"Charge_TypeTelephone",-0.72401182012041,0.569620731050873,-1.27104190675207,0.203713740470495
"Charge_TypeThreat",-0.736948367897685,0.421690032911003,-1.74760679736819,0.0805321375097507
"Charge_TypeTraffic",-0.737675692221031,0.41536058895289,-1.77598865140452,0.075734787681261
"Charge_TypeTrespassing",-0.735742332179352,0.359510241878762,-2.0465128568645,0.0407059388310136
"Charge_TypeVandalism",-0.721855494462032,0.17096475198411,-4.22224748718452,2.41878310150468e-05
"Charge_TypeVehicle",-0.731801221938238,0.309539355103748,-2.36416213276971,0.0180709021361971
"Charge_TypeWeapons",-0.753875023573499,0.757760634837359,-0.994872244498827,0.319798403610898
"nprior",-0.0637671338038322,0.0458505445051954,-1.39076066581078,0.164298014449907
"nprior.cat1",0.230553128272812,0.0908975809387781,2.53640554447863,0.0111996951326453
"nprior.cat2",0.252929273446456,0.113012691784458,2.23806078284421,0.0252170916314048
"nprior.cat3",0.270505546907576,0.131204416726883,2.06171067755032,0.0392352893967209
"nprior.cat4 or more",0.298106558670987,0.137669717899801,2.16537495114181,0.0303589827212727
"chdesc.truant",0.283763327936906,0.135892770511998,2.08814145791407,0.0367850762667061
"off2ref",-0.000269989483439026,0.000156619635255769,-1.7238546303477,0.0847340894826383
"fam.mobilehome.pct",0.000475565222152654,0.0064886951660362,0.0732913490283697,0.941574275662305
"fam0017",-1.66355342422809e-05,1.02304763463595e-05,-1.62607621376307,0.103933443376149
"fam0017.ot.pct",-0.0162639559153977,0.039870308538247,-0.407921496263214,0.683331310413027
"famsingleparent0017.whnh.pct",-0.00230408191453236,0.00892102441783018,-0.258275485708486,0.796194304166582
"fampov0017.pi.pct",0.00743932613654332,0.123357921957948,0.0603068373596576,0.951911256434265
"fam.mobilehome",-4.50534800131901e-06,1.42463925446187e-05,-0.316244830907794,0.751816682318808
"refsrcJJ",0.0138236726391531,0.0980369374492781,0.141004737589902,0.887866199683706
"refsrcLegal",0.0499509674542806,0.0674376773025652,0.740698218744562,0.458876439625306
"refsrcSchool",0.00756402679952339,0.0298947698559999,0.253021743801961,0.800251410655831
"refsrcFamily",0.0431192381487768,0.075713474505074,0.569505473505739,0.569013157271844
"refsrcOther",-0.128736033749869,0.157738887225314,-0.816133776612629,0.414423627552806
"sexM",-0.0123604068425696,0.0264713928534567,-0.466934509679776,0.640546734199007
"fampov0017.pct",-0.0206701951998384,0.0105303788544817,-1.96291087770704,0.0496565306050131
"famsingleparent0017.pi.pct",0.0202930777255552,0.170130261477304,0.119279648131631,0.905053806814814
