"","dF/dx","Std. Err.","z","P>|z|"
"exposureProsecutor",-0.0119618760757851,0.0495469278554209,-0.241425182015121,0.80922559745273
"nprior.Prosecuted",0.146438409588086,0.0330587128639374,4.42964643514087,9.43877049443461e-06
"Charge_TypeAlcohol",-0.504345614657876,0.150020519516804,-3.36184420826101,0.000774237926137945
"Charge_TypeArson",-0.501672447946842,0.159178895099629,-3.15162665020917,0.00162363731763735
"Charge_TypeAssault",-0.715540040102498,4.52974057136982,-0.15796490523653,0.87448445301877
"Charge_TypeBomb",-0.501021994212764,0.0943640094533598,-5.30946064198764,1.09950123141521e-07
"Charge_TypeBreach",-0.503644226955739,0.161828198601143,-3.11221549340154,0.00185688900118269
"Charge_TypeBurglary",-0.551138704497652,1.42881334783738,-0.385731771985363,0.699695329798936
"Charge_TypeConspiracy",-0.501052927572842,0.0943196849697715,-5.31228372670482,1.08259872682185e-07
"Charge_TypeContempt",-0.587420944175363,2.52389714767554,-0.232743614261923,0.815960499774286
"Charge_TypeDisorderly",-0.575455231592495,1.77237586012328,-0.324680133903691,0.745423171621827
"Charge_TypeDrugs",-0.694140720267308,4.13756131551423,-0.167765663717068,0.866767635971455
"Charge_TypeEducation",-0.508671575059757,0.236097339471163,-2.154499395034,0.0312010293623719
"Charge_TypeFTC",-0.503752253351006,0.194709944475797,-2.58719324638102,0.00967613084039645
"Charge_TypeHarassment",-0.500258099108298,0.0764039942060708,-6.54753857185845,5.84931165223403e-11
"Charge_TypeKidnapping",-0.499139393674789,0.0913671459410174,-5.46300739214303,4.68135098318133e-08
"Charge_TypeLarceny",-0.598183404883567,2.43209999779525,-0.245953458092115,0.805718260973944
"Charge_TypeMalicious",-0.570391130546207,1.7120651193659,-0.333159716937322,0.739013723986534
"Charge_TypeMinor",-0.530310919256791,0.749729745236612,-0.707336106945345,0.47935763229251
"Charge_TypeMurder",-0.499131969301624,0.170990627536117,-2.91906039818584,0.00351088192338917
"Charge_TypeObscene",-0.500608916450728,0.127898077766051,-3.91412384919838,9.07330589688218e-05
"Charge_TypeOther",-0.503804758582376,0.150263465150438,-3.35280940099435,0.000799957743975584
"Charge_TypeProbation",-0.580873019013571,2.30635745684541,-0.251857324756622,0.801151346344124
"Charge_TypeReport",-0.510290461651802,0.316222570648029,-1.61370663898555,0.106591073234411
"Charge_TypeResisting",-0.51035016411327,0.356408456775793,-1.43192495691627,0.152165298965433
"Charge_TypeRiot",-0.0806530704205795,69.7998530257402,-0.00115549054796486,0.999078052136783
"Charge_TypeRobbery",-0.503536412779935,0.285502835408813,-1.76368270409266,0.077785414692427
"Charge_TypeRSG",-0.508713297051962,0.245835649213488,-2.0693227311804,0.0385158119506544
"Charge_TypeSchool",-0.6419181403254,2.87984937629071,-0.222899900810855,0.823613413587836
"Charge_TypeSex",-0.526025067486954,0.768861307134709,-0.684161190848939,0.493873385698354
"Charge_TypeShoplifting",-0.577386220792575,1.70097399185379,-0.339444473318087,0.734274920298223
"Charge_TypeStatus",-0.74180636689664,5.09901296935511,-0.145480384410644,0.884331601954141
"Charge_TypeTelephone",-0.504585704762654,0.169445336551074,-2.9778671696318,0.00290261748733332
"Charge_TypeThreat",-0.512091175738102,0.333260795253375,-1.53660791497771,0.124389353155539
"Charge_TypeTraffic",-0.538582858394517,0.882681491183553,-0.610166706534599,0.54175138187818
"Charge_TypeTrespassing",-0.522503141528578,0.586290849888667,-0.891201255533492,0.372821210978475
