Model,y1,y0,eff,var
"Lasso (No Int. Terms, Lambda.min",0.5026695896565195,0.48904292292582335,0.013626666730696181,exposure
"Lasso (No Int. Terms, Lambda.1se)",0.5016637346096737,0.4900252387617476,0.011638495847926101,exposure
"Lasso (No Int. Terms, Lambda.min)",0.9999957232594087,0.9999960929233033,-3.6966389460602045e-7,race
"Lasso (No Int. Terms, Lambda.1se",0.0013339567429294865,0.0014009137682676246,-6.695702533813814e-5,race
"Lasso (with Int. Terms, Lambda.min)",0.5023451406477804,0.4893630390753028,0.012982101572477566,exposure
"Lasso (with Int. Terms, Lambda.1se)",0.500913587812872,0.49073243379297476,0.010181154019897174,exposure
"Lasso (with Int. Terms, Lambda.min)",0.9999991080234647,0.999999467052005,-3.5902854034208787e-7,race
"Lasso (with Int. Terms, Lambda.1se)",0.0011320206352013267,0.0015098156520701675,-3.7779501686884074e-4,race
