Model,y1,y0,eff,var
"Lasso (with Int. Terms, Lambda.min)",0.14994297219108776,0.1695067247714062,-0.01956375258031843,exposure
"Lasso (with Int. Terms, Lambda.1se)",0.15223291627547697,0.16722662622418752,-0.014993709948710547,exposure
"Lasso (with Int. Terms, Lambda.min)",0.7442266827443053,0.7363819899389544,0.007844692805350828,race
"Lasso (with Int. Terms, Lambda.1se)",0.989882824592109,0.9893306844951956,5.521400969134005e-4,race
"Lasso (no Int. Terms, Lambda.min)",0.14971409108309286,0.1697412741831901,-0.02002718310009724,exposure
"Lasso (no Int. Terms, Lambda.1se)",0.15227031568142832,0.1671895586180587,-0.01491924293663039,exposure
"Lasso (no Int. Terms, Lambda.min)",0.972077645045153,0.9700271085673268,0.0020505364778262702,race
"Lasso (no Int. Terms, Lambda.1se)",0.9873355956393259,0.9865188295809496,8.167660583763281e-4,race
