Model,y1,y0,eff,var
"Lasso (No Int. Terms, Lambda.min",0.5110442993219206,0.49214638497409785,0.018897914347822776,exposure
"Lasso (No Int. Terms, Lambda.1se)",0.5110764332352443,0.492144420987949,0.018932012247295293,exposure
"Lasso (No Int. Terms, Lambda.min)",0.019637146783139787,0.021351286496364755,-0.0017141397132249686,race
"Lasso (No Int. Terms, Lambda.1se",6.699577789169343e-5,7.376739755839929e-5,-6.771619666705853e-6,race
"Lasso (with Int. Terms, Lambda.min)",0.5114620830530688,0.49168922191623743,0.019772861136831434,exposure
"Lasso (with Int. Terms, Lambda.1se)",0.5110191903249667,0.4922177554679446,0.018801434857022094,exposure
"Lasso (with Int. Terms, Lambda.min)",0.8463796493590819,0.8740948430440987,-0.027715193685016737,race
"Lasso (with Int. Terms, Lambda.1se)",9.188035383911495e-6,1.4543920572461901e-5,-5.355885188550406e-6,race
