Model,y1,y0,eff,var
"Lasso (with Int. Terms, Lambda.min)",0.34269666155292877,0.29577521624231956,0.04692144531060924,exposure
"Lasso (with Int. Terms, Lambda.1se)",0.3379303755262394,0.30045842556872915,0.037471949957510256,exposure
"Lasso (with Int. Terms, Lambda.min)",6.825000421151451e-132,1.2752637164267838e-135,6.823725157435024e-132,race
"Lasso (with Int. Terms, Lambda.1se)",2.1899858030578508e-101,4.2051465590382183e-103,2.1479343374674685e-101,race
"Lasso (no Int. Terms, Lambda.min)",0.33802905417655854,0.30026674764792377,0.037762306528634784,exposure
"Lasso (no Int. Terms, Lambda.1se)",0.3380508647363308,0.3003147471777234,0.037736117558607445,exposure
"Lasso (no Int. Terms, Lambda.min)",1.1341991905265542e-113,8.681121533787541e-114,2.660870371478001e-114,race
"Lasso (no Int. Terms, Lambda.1se)",3.368012721687934e-80,2.8900432303675355e-80,4.779694913203985e-81,race
