Model,y1,y0,eff,var
"Lasso (with Int. Terms, Lambda.min)",0.15160303735439054,0.17131258175682237,-0.01970954440243183,exposure
"Lasso (with Int. Terms, Lambda.1se)",0.15367812732472078,0.16953683117056012,-0.015858703845839348,exposure
"Lasso (with Int. Terms, Lambda.min)",0.9949656899001459,0.9947562033725679,2.0948652757801778e-4,race
"Lasso (with Int. Terms, Lambda.1se)",0.7970588093378523,0.7920088872379016,0.005049922099950699,race
"Lasso (no Int. Terms, Lambda.min)",0.1520212094141683,0.17094503128266644,-0.01892382186849814,exposure
"Lasso (no Int. Terms, Lambda.1se)",0.15517603004225475,0.16829766350700093,-0.013121633464746207,exposure
"Lasso (no Int. Terms, Lambda.min)",0.916595322931625,0.9117912726287546,0.004804050302870455,race
"Lasso (no Int. Terms, Lambda.1se)",0.9430453855652747,0.9405649460442735,0.0024804395210011876,race
