Model,y1,y0,eff,var
"Lasso (with Int. Terms, Lambda.min)",0.33441443906538537,0.2944820493246726,0.03993238974071278,exposure
"Lasso (with Int. Terms, Lambda.1se)",0.33058122825710723,0.29882773512223537,0.031753493134871816,exposure
"Lasso (with Int. Terms, Lambda.min)",1.0010041659707823e-120,1.1845612334119727e-123,9.998196047373703e-121,race
"Lasso (with Int. Terms, Lambda.1se)",6.305907482950245e-92,2.372227544181811e-93,6.0686847285320634e-92,race
"Lasso (no Int. Terms, Lambda.min)",0.3338419592134537,0.2950765909845505,0.03876536822890319,exposure
"Lasso (no Int. Terms, Lambda.1se)",0.33058251247287906,0.29880178396668916,0.031780728506189945,exposure
"Lasso (no Int. Terms, Lambda.min)",1.1129757397482654e-119,7.433871725167913e-120,3.6958856723147413e-120,race
"Lasso (no Int. Terms, Lambda.1se)",4.482723029497212e-89,3.593319818844869e-89,8.894032106523432e-90,race
